Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3631747,EXP2_COL01_ROW26,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440095,SRX5440095,Kemal Marc Akat,8-Mar-19
GSM3631748,EXP2_COL01_ROW28,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440096,SRX5440096,Kemal Marc Akat,8-Mar-19
GSM3631749,EXP2_COL01_ROW32,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440097,SRX5440097,Kemal Marc Akat,8-Mar-19
GSM3631750,EXP2_COL01_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440098,SRX5440098,Kemal Marc Akat,8-Mar-19
GSM3631751,EXP2_COL01_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440099,SRX5440099,Kemal Marc Akat,8-Mar-19
GSM3631752,EXP2_COL01_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440100,SRX5440100,Kemal Marc Akat,8-Mar-19
GSM3631753,EXP2_COL01_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440101,SRX5440101,Kemal Marc Akat,8-Mar-19
GSM3631754,EXP2_COL02_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440102,SRX5440102,Kemal Marc Akat,8-Mar-19
GSM3631755,EXP2_COL02_ROW19,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440103,SRX5440103,Kemal Marc Akat,8-Mar-19
GSM3631756,EXP2_COL02_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440104,SRX5440104,Kemal Marc Akat,8-Mar-19
GSM3631757,EXP2_COL02_ROW25,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440105,SRX5440105,Kemal Marc Akat,8-Mar-19
GSM3631758,EXP2_COL02_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440106,SRX5440106,Kemal Marc Akat,8-Mar-19
GSM3631759,EXP2_COL03_ROW01,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440107,SRX5440107,Kemal Marc Akat,8-Mar-19
GSM3631760,EXP2_COL03_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440108,SRX5440108,Kemal Marc Akat,8-Mar-19
GSM3631761,EXP2_COL03_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440109,SRX5440109,Kemal Marc Akat,8-Mar-19
GSM3631762,EXP2_COL03_ROW25,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440110,SRX5440110,Kemal Marc Akat,8-Mar-19
GSM3631763,EXP2_COL03_ROW27,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440111,SRX5440111,Kemal Marc Akat,8-Mar-19
GSM3631764,EXP2_COL03_ROW31,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440112,SRX5440112,Kemal Marc Akat,8-Mar-19
GSM3631765,EXP2_COL03_ROW33,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440113,SRX5440113,Kemal Marc Akat,8-Mar-19
GSM3631766,EXP2_COL03_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440114,SRX5440114,Kemal Marc Akat,8-Mar-19
GSM3631767,EXP2_COL03_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440115,SRX5440115,Kemal Marc Akat,8-Mar-19
GSM3631768,EXP2_COL03_ROW37,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440116,SRX5440116,Kemal Marc Akat,8-Mar-19
GSM3631769,EXP2_COL03_ROW39,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440117,SRX5440117,Kemal Marc Akat,8-Mar-19
GSM3631770,EXP2_COL03_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440118,SRX5440118,Kemal Marc Akat,8-Mar-19
GSM3631771,EXP2_COL04_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440119,SRX5440119,Kemal Marc Akat,8-Mar-19
GSM3631772,EXP2_COL04_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440120,SRX5440120,Kemal Marc Akat,8-Mar-19
GSM3631773,EXP2_COL04_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440121,SRX5440121,Kemal Marc Akat,8-Mar-19
GSM3631774,EXP2_COL04_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440122,SRX5440122,Kemal Marc Akat,8-Mar-19
GSM3631775,EXP2_COL04_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440123,SRX5440123,Kemal Marc Akat,8-Mar-19
GSM3631776,EXP2_COL04_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440124,SRX5440124,Kemal Marc Akat,8-Mar-19
GSM3631777,EXP2_COL04_ROW24,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440125,SRX5440125,Kemal Marc Akat,8-Mar-19
GSM3631778,EXP2_COL04_ROW26,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440126,SRX5440126,Kemal Marc Akat,8-Mar-19
GSM3631779,EXP2_COL05_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440127,SRX5440127,Kemal Marc Akat,8-Mar-19
GSM3631780,EXP2_COL05_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440128,SRX5440128,Kemal Marc Akat,8-Mar-19
GSM3631781,EXP2_COL05_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440129,SRX5440129,Kemal Marc Akat,8-Mar-19
GSM3631782,EXP2_COL05_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440130,SRX5440130,Kemal Marc Akat,8-Mar-19
GSM3631783,EXP2_COL05_ROW19,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440131,SRX5440131,Kemal Marc Akat,8-Mar-19
GSM3631784,EXP2_COL05_ROW24,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440132,SRX5440132,Kemal Marc Akat,8-Mar-19
GSM3631785,EXP2_COL05_ROW31,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440133,SRX5440133,Kemal Marc Akat,8-Mar-19
GSM3631786,EXP2_COL05_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440134,SRX5440134,Kemal Marc Akat,8-Mar-19
GSM3631787,EXP2_COL05_ROW39,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440135,SRX5440135,Kemal Marc Akat,8-Mar-19
GSM3631788,EXP2_COL05_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440136,SRX5440136,Kemal Marc Akat,8-Mar-19
GSM3631789,EXP2_COL06_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440137,SRX5440137,Kemal Marc Akat,8-Mar-19
GSM3631790,EXP2_COL06_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440138,SRX5440138,Kemal Marc Akat,8-Mar-19
GSM3631791,EXP2_COL06_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440139,SRX5440139,Kemal Marc Akat,8-Mar-19
GSM3631792,EXP2_COL06_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440140,SRX5440140,Kemal Marc Akat,8-Mar-19
GSM3631793,EXP2_COL06_ROW16,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440141,SRX5440141,Kemal Marc Akat,8-Mar-19
GSM3631794,EXP2_COL06_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440142,SRX5440142,Kemal Marc Akat,8-Mar-19
GSM3631795,EXP2_COL06_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440143,SRX5440143,Kemal Marc Akat,8-Mar-19
GSM3631796,EXP2_COL06_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440144,SRX5440144,Kemal Marc Akat,8-Mar-19
GSM3631797,EXP2_COL06_ROW37,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440145,SRX5440145,Kemal Marc Akat,8-Mar-19
GSM3631798,EXP2_COL07_ROW01,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440146,SRX5440146,Kemal Marc Akat,8-Mar-19
GSM3631799,EXP2_COL07_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440147,SRX5440147,Kemal Marc Akat,8-Mar-19
GSM3631800,EXP2_COL07_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440148,SRX5440148,Kemal Marc Akat,8-Mar-19
GSM3631801,EXP2_COL07_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440149,SRX5440149,Kemal Marc Akat,8-Mar-19
GSM3631802,EXP2_COL07_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440150,SRX5440150,Kemal Marc Akat,8-Mar-19
GSM3631803,EXP2_COL07_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440151,SRX5440151,Kemal Marc Akat,8-Mar-19
GSM3631804,EXP2_COL07_ROW19,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440152,SRX5440152,Kemal Marc Akat,8-Mar-19
GSM3631805,EXP2_COL07_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440153,SRX5440153,Kemal Marc Akat,8-Mar-19
GSM3631806,EXP2_COL07_ROW28,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440154,SRX5440154,Kemal Marc Akat,8-Mar-19
GSM3631807,EXP2_COL07_ROW29,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440155,SRX5440155,Kemal Marc Akat,8-Mar-19
GSM3631808,EXP2_COL07_ROW30,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440156,SRX5440156,Kemal Marc Akat,8-Mar-19
GSM3631809,EXP2_COL07_ROW32,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440157,SRX5440157,Kemal Marc Akat,8-Mar-19
GSM3631810,EXP2_COL07_ROW37,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440158,SRX5440158,Kemal Marc Akat,8-Mar-19
GSM3631811,EXP2_COL08_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440159,SRX5440159,Kemal Marc Akat,8-Mar-19
GSM3631812,EXP2_COL08_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440160,SRX5440160,Kemal Marc Akat,8-Mar-19
GSM3631813,EXP2_COL08_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440161,SRX5440161,Kemal Marc Akat,8-Mar-19
GSM3631814,EXP2_COL08_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440162,SRX5440162,Kemal Marc Akat,8-Mar-19
GSM3631815,EXP2_COL08_ROW19,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440163,SRX5440163,Kemal Marc Akat,8-Mar-19
GSM3631816,EXP2_COL08_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440164,SRX5440164,Kemal Marc Akat,8-Mar-19
GSM3631817,EXP2_COL08_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440165,SRX5440165,Kemal Marc Akat,8-Mar-19
GSM3631818,EXP2_COL09_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440166,SRX5440166,Kemal Marc Akat,8-Mar-19
GSM3631819,EXP2_COL09_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440167,SRX5440167,Kemal Marc Akat,8-Mar-19
GSM3631820,EXP2_COL09_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440168,SRX5440168,Kemal Marc Akat,8-Mar-19
GSM3631821,EXP2_COL09_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440169,SRX5440169,Kemal Marc Akat,8-Mar-19
GSM3631822,EXP2_COL09_ROW30,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440170,SRX5440170,Kemal Marc Akat,8-Mar-19
GSM3631823,EXP2_COL10_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440171,SRX5440171,Kemal Marc Akat,8-Mar-19
GSM3631824,EXP2_COL10_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440172,SRX5440172,Kemal Marc Akat,8-Mar-19
GSM3631825,EXP2_COL10_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440173,SRX5440173,Kemal Marc Akat,8-Mar-19
GSM3631826,EXP2_COL10_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440174,SRX5440174,Kemal Marc Akat,8-Mar-19
GSM3631827,EXP2_COL10_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440175,SRX5440175,Kemal Marc Akat,8-Mar-19
GSM3631828,EXP2_COL10_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440176,SRX5440176,Kemal Marc Akat,8-Mar-19
GSM3631829,EXP2_COL10_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440177,SRX5440177,Kemal Marc Akat,8-Mar-19
GSM3631830,EXP2_COL10_ROW33,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440178,SRX5440178,Kemal Marc Akat,8-Mar-19
GSM3631831,EXP2_COL10_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440179,SRX5440179,Kemal Marc Akat,8-Mar-19
GSM3631832,EXP2_COL11_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440180,SRX5440180,Kemal Marc Akat,8-Mar-19
GSM3631833,EXP2_COL11_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440181,SRX5440181,Kemal Marc Akat,8-Mar-19
GSM3631834,EXP2_COL11_ROW28,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440182,SRX5440182,Kemal Marc Akat,8-Mar-19
GSM3631835,EXP2_COL12_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440183,SRX5440183,Kemal Marc Akat,8-Mar-19
GSM3631836,EXP2_COL12_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440184,SRX5440184,Kemal Marc Akat,8-Mar-19
GSM3631837,EXP2_COL12_ROW07,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440185,SRX5440185,Kemal Marc Akat,8-Mar-19
GSM3631838,EXP2_COL12_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440186,SRX5440186,Kemal Marc Akat,8-Mar-19
GSM3631839,EXP2_COL12_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440187,SRX5440187,Kemal Marc Akat,8-Mar-19
GSM3631840,EXP2_COL12_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440188,SRX5440188,Kemal Marc Akat,8-Mar-19
GSM3631841,EXP2_COL12_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440189,SRX5440189,Kemal Marc Akat,8-Mar-19
GSM3631842,EXP2_COL12_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440190,SRX5440190,Kemal Marc Akat,8-Mar-19
GSM3631843,EXP2_COL12_ROW21,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440191,SRX5440191,Kemal Marc Akat,8-Mar-19
GSM3631844,EXP2_COL12_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440192,SRX5440192,Kemal Marc Akat,8-Mar-19
GSM3631845,EXP2_COL12_ROW26,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440193,SRX5440193,Kemal Marc Akat,8-Mar-19
GSM3631846,EXP2_COL12_ROW30,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440194,SRX5440194,Kemal Marc Akat,8-Mar-19
GSM3631847,EXP2_COL12_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440195,SRX5440195,Kemal Marc Akat,8-Mar-19
GSM3631848,EXP2_COL12_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440196,SRX5440196,Kemal Marc Akat,8-Mar-19
GSM3631849,EXP2_COL13_ROW01,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440197,SRX5440197,Kemal Marc Akat,8-Mar-19
GSM3631850,EXP2_COL13_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440198,SRX5440198,Kemal Marc Akat,8-Mar-19
GSM3631851,EXP2_COL13_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440199,SRX5440199,Kemal Marc Akat,8-Mar-19
GSM3631852,EXP2_COL13_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440200,SRX5440200,Kemal Marc Akat,8-Mar-19
GSM3631853,EXP2_COL13_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440201,SRX5440201,Kemal Marc Akat,8-Mar-19
GSM3631854,EXP2_COL13_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440202,SRX5440202,Kemal Marc Akat,8-Mar-19
GSM3631855,EXP2_COL13_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440203,SRX5440203,Kemal Marc Akat,8-Mar-19
GSM3631856,EXP2_COL13_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440204,SRX5440204,Kemal Marc Akat,8-Mar-19
GSM3631857,EXP2_COL13_ROW28,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440205,SRX5440205,Kemal Marc Akat,8-Mar-19
GSM3631858,EXP2_COL13_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440206,SRX5440206,Kemal Marc Akat,8-Mar-19
GSM3631859,EXP2_COL14_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440207,SRX5440207,Kemal Marc Akat,8-Mar-19
GSM3631860,EXP2_COL14_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440208,SRX5440208,Kemal Marc Akat,8-Mar-19
GSM3631861,EXP2_COL14_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440209,SRX5440209,Kemal Marc Akat,8-Mar-19
GSM3631862,EXP2_COL14_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440210,SRX5440210,Kemal Marc Akat,8-Mar-19
GSM3631863,EXP2_COL14_ROW16,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440211,SRX5440211,Kemal Marc Akat,8-Mar-19
GSM3631864,EXP2_COL14_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440212,SRX5440212,Kemal Marc Akat,8-Mar-19
GSM3631865,EXP2_COL14_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5440213,SRX5440213,Kemal Marc Akat,8-Mar-19
